MigVolatge,MigCurrent,TigVolatge,TigCurrent,Encoder,,,
-0.003403,0.631944,5.4055,1.685246,0,,,
0.120883,0.979318,2.21698,-0.369235,0,,,
0.104948,0.789841,1.993783,-0.653702,0,,,
0.095388,1.010898,2.185094,-0.211198,0,,,
0.098575,0.853,2.312635,-0.274413,0,,,
0.101762,0.979318,2.21698,-0.242806,0,,,
0.117696,1.010898,2.408291,-0.084769,0,,,
0.130443,0.88458,2.153209,-0.179591,0,,,
0.127256,0.916159,2.376406,-0.179591,0,,,
0.114509,1.010898,2.21698,-0.179591,0,,,
0.108135,0.947739,2.21698,0.041661,0,,,
0.069894,0.979318,2.21698,-0.179591,0,,,
0.07308,0.947739,2.121324,-0.147983,0,,,
0.082641,0.947739,2.025668,-0.211198,0,,,
0.092201,0.947739,2.057554,-0.211198,0,,,
0.009344,2.810929,2.025668,1.969712,0,,,
0.082641,1.326693,2.440176,0.073268,0,,,
0.089014,1.295113,2.376406,0.073268,0,,,
0.076267,1.137216,2.34452,0.073268,0,,,
0.111322,1.105636,2.376406,0.041661,0,,,
0.114509,0.916159,2.121324,-0.179591,0,,,
0.114509,0.916159,2.248865,-0.116376,0,,,
0.082641,0.88458,2.185094,-0.116376,0,,,
0.101762,0.789841,2.185094,-0.147983,0,,,
0.092201,0.695103,2.089439,-0.179591,0,,,
0.101762,0.88458,2.185094,-0.274413,0,,,
0.251542,4.579381,2.822798,5.983852,0,,,
0.101762,0.916159,2.121324,-0.147983,0,,,
0.07308,0.568785,1.866242,-0.43245,0,,,
0.085828,5.116233,2.376406,-0.116376,0,,,
0.085828,0.88458,2.21698,1.400779,0,,,
0.060333,0.88458,2.153209,-0.116376,0,,,
0.079454,0.947739,2.089439,-0.179591,0,,,
0.089014,1.231954,2.089439,-0.400843,0,,,
0.053959,0.979318,2.121324,-0.211198,0,,,
0.028465,0.947739,2.153209,-0.211198,0,,,
0.047586,1.231954,2.376406,0.041661,0,,,
0.092201,1.263534,2.376406,0.041661,0,,,
0.101762,1.137216,2.28075,0.041661,0,,,
0.114509,1.231954,2.248865,3.265616,0,,,
0.117696,5.495187,2.21698,0.104876,0,,,
